Rank 	Company 	Website
1	Walmart 	http://www.stock.walmart.com
2	Exxon Mobil 	http://www.exxonmobil.com
3	Berkshire Hathaway 	http://www.berkshirehathaway.com
4	Apple 	http://www.apple.com
5	UnitedHealth Group 	http://www.unitedhealthgroup.com
6	McKesson 	http://www.mckesson.com
7	CVS Health 	http://www.cvshealth.com
8	Amazon.com 	http://www.amazon.com
9	AT&T 	http://www.att.com
10	General Motors 	http://www.gm.com
11	Ford Motor 	http://www.corporate.ford.com
12	AmerisourceBergen 	http://www.amerisourcebergen.com
13	Chevron 	http://www.chevron.com
14	Cardinal Health 	http://www.cardinalhealth.com
15	Costco 	http://www.costco.com
16	Verizon 	http://www.verizon.com
17	Kroger 	http://www.thekrogerco.com
18	General Electric 	http://www.ge.com
19	Walgreens Boots Alliance 	http://www.walgreensbootsalliance.com
20	JPMorgan Chase 	http://www.jpmorganchase.com
21	Fannie Mae 	http://www.fanniemae.com
22	Alphabet 	http://www.abc.xyz
23	Home Depot 	http://www.homedepot.com
24	Bank of America Corp. 	http://www.bankofamerica.com
25	Express Scripts Holding 	http://www.express-scripts.com
26	Wells Fargo 	http://www.wellsfargo.com
27	Boeing 	http://www.boeing.com
28	Phillips 	http://www.phillips66.com
29	Anthem 	http://www.antheminc.com
30	Microsoft 	http://www.microsoft.com
31	Valero Energy 	http://www.valero.com
32	Citigroup 	http://www.citigroup.com
33	Comcast 	http://www.comcastcorporation.com
34	IBM 	http://www.ibm.com
35	Dell Technologies 	http://www.delltechnologies.com
36	State Farm Insurance Cos. 	http://www.statefarm.com
37	Johnson & Johnson 	http://www.jnj.com
38	Freddie Mac 	http://www.freddiemac.com
39	Target 	http://www.target.com
40	Lowe’s 	http://www.lowes.com
41	Marathon Petroleum 	http://www.marathonpetroleum.com
42	Procter & Gamble 	http://www.pg.com
43	MetLife 	http://www.metlife.com
44	UPS 	http://www.ups.com
45	PepsiCo 	http://www.pepsico.com
46	Intel 	http://www.intel.com
47	DowDuPont 	www.dow-dupont.com
48	Archer Daniels Midland 	http://www.adm.com
49	Aetna 	http://www.aetna.com
50	FedEx 	http://www.fedex.com
51	United Technologies 	http://www.utc.com
52	Prudential Financial 	http://www.prudential.com
53	Albertsons Cos. 	http://www.albertsons.com
54	Sysco 	http://www.sysco.com
55	Disney 	http://www.disney.com
56	Humana 	http://www.humana.com
57	Pfizer 	http://www.pfizer.com
58	HP 	http://www.hp.com
59	Lockheed Martin 	http://www.lockheedmartin.com
60	AIG 	http://www.aig.com
61	Centene 	http://www.centene.com
62	Cisco Systems 	http://www.cisco.com
63	HCA Healthcare 	www.hcahealthcare.com
64	Energy Transfer Equity 	http://www.energytransfer.com
65	Caterpillar 	http://www.caterpillar.com
66	Nationwide 	http://www.nationwide.com
67	Morgan Stanley 	http://www.morganstanley.com
68	Liberty Mutual Insurance Group 	http://www.libertymutual.com
69	New York Life Insurance 	http://www.newyorklife.com
70	Goldman Sachs Group 	http://www.gs.com
